country, product, quantity, price
KE,Product 0,71,76.55
NG,Product 1,60,12.86
KE,Product 2,15,49.51
KE,Product 3,32,86.35
NG,Product 4,43,3.94
GH,Product 5,58,75.53
ZA,Product 6,56,59.76
NG,Product 7,28,44.83
MA,Product 8,72,6.87
MA,Product 9,8,87.31
MA,Product 10,82,47.24
NG,Product 11,0,50.34
NG,Product 12,10,32.98
ZA,Product 13,55,15.81
KE,Product 14,86,45.76
ZA,Product 15,52,69.59
GH,Product 16,52,51.99
MA,Product 17,44,9.13
NG,Product 18,60,18.11
GH,Product 19,90,88.86
MA,Product 20,46,88.49
KE,Product 21,14,38.46
MA,Product 22,15,63.84
ZA,Product 23,30,73.18
ZA,Product 24,47,61.99
ZA,Product 25,27,82.83
ZA,Product 26,72,42.39
KE,Product 27,34,52.66
NG,Product 28,27,38.14
GH,Product 29,22,74.86
KE,Product 30,65,34.08
GH,Product 31,67,43.98
NG,Product 32,19,58.65
GH,Product 33,97,20.59
GH,Product 34,93,59.50
MA,Product 35,66,7.69
KE,Product 36,48,99.58
MA,Product 37,86,40.48
NG,Product 38,52,87.68
GH,Product 39,49,81.20
NG,Product 40,97,36.96
KE,Product 41,48,91.19
GH,Product 42,60,71.23
KE,Product 43,42,30.81
NG,Product 44,4,94.58
MA,Product 45,97,41.48
NG,Product 46,16,42.92
MA,Product 47,24,97.90
MA,Product 48,66,56.38
MA,Product 49,10,20.93
ZA,Product 50,66,16.29
ZA,Product 51,13,27.22
MA,Product 52,53,59.09
KE,Product 53,54,87.07
GH,Product 54,96,79.65
MA,Product 55,11,54.13
NG,Product 56,24,5.13
MA,Product 57,74,62.13
GH,Product 58,83,48.54
GH,Product 59,42,85.42
ZA,Product 60,48,31.99
KE,Product 61,5,71.12
KE,Product 62,15,83.12
NG,Product 63,68,85.93
GH,Product 64,70,62.63
ZA,Product 65,48,7.76
KE,Product 66,76,33.30
ZA,Product 67,7,8.20
KE,Product 68,46,29.45
ZA,Product 69,83,85.57
GH,Product 70,95,37.97
KE,Product 71,39,76.72
GH,Product 72,38,48.81
NG,Product 73,52,40.96
KE,Product 74,20,90.21
MA,Product 75,29,30.51
ZA,Product 76,51,72.32
KE,Product 77,20,97.96
GH,Product 78,15,86.24
NG,Product 79,74,1.69
NG,Product 80,54,95.04
GH,Product 81,82,85.37
MA,Product 82,46,33.38
NG,Product 83,62,30.45
MA,Product 84,97,80.91
NG,Product 85,35,7.45
MA,Product 86,37,51.60
KE,Product 87,99,77.93
NG,Product 88,3,0.09
GH,Product 89,23,64.26
